name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA, offering lush lawns, verdant tropical foliage."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,101,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces with high ceilings, ample natural light, historic charm."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative with industrial-meets-chic aesthetics.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, specializing in weddings and events with stunning architecture and stylish furnishings."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910, offering a historic and charming space for events."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA, led by owner Chef Vincent Marra."
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,FORTH Hotel Atlanta is a deluxe wedding venue in the trendy Old Fourth Ward neighborhood with an elegant ballroom and state-of-the-art facilities.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,"From weddings to rehearsal dinners, Ecco Buckhead is an enchanting and elegant restaurant wedding venue in Atlanta, GA."
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings in a convenient location."
